IDViñedo,Nombre,Información,IDRegión,URL,,
1,Cava Garambullo,"CAVA GARAMBULLO es una cava en San Miguel de Allende, fundada en 2017, dedicada a producir vinos finos y elegantes que reflejan el territorio y la tradición. Utilizan fermentaciones naturales con levaduras autóctonas, sin correcciones ni aditivos, y con mínimas dosis de sulfitos. Su enfoque es la frutalidad y la expresión de cada variedad, creando vinos de fermentación natural en suelos volcánicos.",1,https://mercadodevinos.mx/collections/cava-garambullo,,
2,San José Lavista,"Ubicada en una colina con impresionantes vistas a San Miguel de Allende, esta hacienda vinícola exclusiva, a 8.5 km del centro, se estableció en 2010. Rodeada de viñedos y olivos, es el lugar ideal para bodas y eventos, disfrutar de deliciosos platillos en el Restaurante Lavista, o realizar visitas guiadas que culminan con catas de vinos 100% mexicanos.",2,https://tienda.haciendasanjoselavista.com/,,
3,San Lucas,"El Viñedo San Lucas en San Miguel de Allende ofrece una variedad de vinos que destacan por su calidad y el cuidado en su producción. El viñedo ofrece experiencias de cata donde puedes probar estos vinos y aprender sobre el proceso de vinificación. Las catas suelen incluir un recorrido por los viñedos y las instalaciones, donde se explica el cultivo de las uvas y la producción del vino.",3,https://tienda.vinedossanlucas.com/,,
4,Bernat Vinícola,"El Viñedo Bernat Vinícola es un encantador viñedo ubicado en el Pueblo Mágico de Dolores Hidalgo, Guanajuato. Cultivan diversas cepas, incluyendo Cabernet Sauvignon, Garnacha, Syrah, Cinsault, Sauvignon Blanc, Malbec y Albariño.",4,https://bernatvinicola.wixsite.com/bernatvinicola,,
5,Cuna de Tierra,"El Viñedo Cuna de Tierra, ubicado en Dolores Hidalgo, Guanajuato, es uno de los viñedos más destacados de la región. Trabaja uvas como: Syrah, Merlot, Cabernet Franc, Cabernet Sauvignon, Petit Syrah, Malbec, Tempranillo, Nebbiolo, Semillón, Sauvignon Blanc, entre otras.",5,https://www.cunadetierra.com/,,
6,Hacienda San Bernardino,"Hacienda San Bernardino es un viñedo familiar dedicada a su tradición vitivinícola, ubicada en Dolores Hidalgo, región productora de uva y vino más antigua de México.",6,https://haciendasanbernardino.com.mx/,,
7,Tres Raíces,Inició en 2016 con la producción de vinos construcción de su edificio principal. Su misión es deleitar todos y cada uno de los sentidos de sus clientes.,8,https://xn--viedotresraices-zqb.com/,,
8,El Lobo,"En 2009 fermantaron su primer vino. Actualmente el vino y la música son las dos pasiones de este viñedo, mismas que dan origen a este proyecto.",9,https://www.bodegalobo.com/,,
9,Viñedo San Miguel,"Con una superficie de 10,000 m², la convierte en la bodega más grande de todo el estado. Viñedo San Miguel produce difrentes clases de vino que reposan en su sala de barricas, en la que cuentan con 400 bariicas hehcas de roble francés y 100 de roble americano.",10,https://vinedosanmiguel.com.mx/,,
10,Los Remedios,"Ubicada en San Miguel de Allende , El Rancho los Remedios solía ser una hacienda de descanso de 1800 que usaban los pasajeron del tren que pasaba por el lugar. ",11,https://www.rancholosremedios.com/,,
11,"Pájaro Azul, Vinos Guanamé","Empresa vinícola familiar que nace en el año 2011 en Rancho Pájaro Azul ubicado en el Valle de Jaral de Berrios, en San Felipe, Guanajuato. Su objetivo es producir vinos de gran calidad para sus clientes, cuidando al máximo los detalles en su viñedo: desde la plantación, riego, fertilización, poda, cosecha, crianza y embotellado.",12,https://www.vinosguaname.com/product-page/p%C3%A1jaro-azul,,
12,Tierra de Luz,"Tierra de Luz Hacienda Vinícola, nace en mayo del 2015, es un proyecto hecho con amor y en donde se trabaja con pasión. Por esto, apostamos por vinos de calidad, hechos con el respeto por el medio ambiente y el compromiso por la tierra. ",13,https://tierradeluzhaciendavinicola.com/,,
13,Los Arcángeles,"Viñedo familiar ubicado entre las tierra de San Miguel de Allend y Dolores Hidalgo. No usan pesticidas ni herbicida haciendo sus procesos sutentables. Producen +15,000 botellas, fermentaciones naturales.",7,https://tienda.vinedolosarcangeles.com/,,
